X,Y,OBJECTID,id,ask,bedrooms,title,address,posting_da,created_at,updated_at,source_id,survey_id,XCoord,YCoord,Loc_ID,geog_code
237001.699072505318327,898502.344025918515399,43,12983.00000000000,2700.00000000000,2.00000000000,"Beautiful pet friendly condo in Southie. Central AC, Deck, New LISTING",,2015-11-03 20:09:28,2015-11-03 20:57:12.513694,2015-11-03 20:57:12.513694,0.00000000000,18.00000000000,237001.69907300000,898502.34402600001,0,237001.699073_898502.344026
237043.85299031692557,898572.656102507025935,44,12985.00000000000,1900.00000000000,2.00000000000,Ã¢ÂœÂ« Perfect 2 Bed in an Amazing Southie Location!,,2015-11-01 20:37:26,2015-11-03 20:57:12.541961,2015-11-03 20:57:12.541961,0.00000000000,18.00000000000,237043.85299000001,898572.65610300004,0,237043.85299_898572.656103
237058.396786263387185,898502.64271130040288,45,12987.00000000000,2000.00000000000,2.00000000000,Broadway Red Line * TWO BEDROOM * West 5th Street,,2015-10-30 01:10:14,2015-11-03 20:57:12.573971,2015-11-03 20:57:12.573971,0.00000000000,18.00000000000,237058.39678600000,898502.64271100005,0,237058.396786_898502.642711
237001.665160088188713,898508.786355539807118,46,12988.00000000000,2800.00000000000,2.00000000000,Southie 2 bed 1.5 Bath Condo for rent.  Pet friendly.  Recently renovated,,2015-10-27 23:30:57,2015-11-03 20:57:12.582068,2015-11-03 20:57:12.582068,0.00000000000,18.00000000000,237001.66516000000,898508.78635600000,0,237001.66516_898508.786356
232871.872455617645755,898119.150251707644202,47,12997.00000000000,3240.00000000000,2.00000000000,Gorgeous Renovated 2 Bed/1Bath - Close to LMA - Steps from MBTA - Gym,,2015-10-27 13:38:06,2015-11-03 20:57:23.093308,2015-11-03 20:57:23.093308,0.00000000000,18.00000000000,232871.87245600001,898119.15025199996,0,232871.872456_898119.150252
234383.053075498522958,899061.87433059909381,48,12998.00000000000,2800.00000000000,2.00000000000,South End... Mass. Ave. . .Floor Thru 2 bed w/ Roof Deck avail 12-1!!,,2015-11-03 20:25:17,2015-11-03 20:57:28.332576,2015-11-03 20:57:28.332576,0.00000000000,18.00000000000,234383.05307500000,899061.87433100003,0,234383.053075_899061.874331
230464.459443262341665,893564.15826714981813,49,13001.00000000000,1800.00000000000,2.00000000000,Charming Two Bed nestled in Peters Hill Roslindale!,,2015-11-03 20:23:23,2015-11-03 20:57:33.592447,2015-11-03 20:57:33.592447,0.00000000000,18.00000000000,230464.45944300000,893564.15826699999,0,230464.459443_893564.158267
223626.899760573811363,865415.221336099551991,50,13006.00000000000,1325.00000000000,2.00000000000,"MANSFIELD Cathedral Ceil., 2 Balcs. NEW Kitch. Near 106/140/95/495",,2015-11-03 20:06:54,2015-11-03 20:57:38.854175,2015-11-03 20:57:38.854175,0.00000000000,18.00000000000,223626.89976100001,865415.22133600002,0,223626.899761_865415.221336
227610.669761471508536,894729.78460141713731,51,13012.00000000000,1800.00000000000,2.00000000000,"** 2-BED / 2-BATH with Parking, only $1800!  NO FEE! **",,2015-11-03 20:04:02,2015-11-03 20:57:44.119537,2015-11-03 20:57:44.119537,0.00000000000,18.00000000000,227610.66976100000,894729.78460100002,0,227610.669761_894729.784601
227601.187586130748969,894729.747381837805733,52,13013.00000000000,1850.00000000000,2.00000000000,"** 2-BED / 2-BATH with Parking, only $1800!  NO FEE! **",,2015-11-01 18:55:19,2015-11-03 20:57:44.127379,2015-11-03 20:57:44.127379,0.00000000000,18.00000000000,227601.18758599999,894729.74738199997,0,227601.187586_894729.747382
242631.795128794299671,872447.549056967836805,53,13021.00000000000,1425.00000000000,2.00000000000,"2 bedroom, 1 bath - RENOVATED!",,2015-11-03 20:00:02,2015-11-03 20:57:49.411559,2015-11-03 20:57:49.411559,0.00000000000,18.00000000000,242631.79512900001,872447.54905699997,0,242631.795129_872447.549057
212387.962001456064172,892656.372229233034886,54,13027.00000000000,1950.00000000000,2.00000000000,2 Bedroom,,2015-10-30 16:44:27,2015-11-03 20:57:59.896755,2015-11-03 20:57:59.896755,0.00000000000,18.00000000000,212387.96200100001,892656.37222899997,0,212387.962001_892656.372229
236357.521328261849703,902540.337757244356908,55,13029.00000000000,3000.00000000000,2.00000000000,Charlestown... Monument view  2 bed 2 bath 2 Garage parking $3000,,2015-10-28 14:26:00,2015-11-03 20:58:05.226199,2015-11-03 20:58:05.226199,0.00000000000,18.00000000000,236357.52132800000,902540.33775700000,0,236357.521328_902540.337757
235421.484993362188106,899117.904495407012291,56,13036.00000000000,2950.00000000000,2.00000000000,"Beautiful Pet Friendly 2 bed. No Fee, H/Hw Included, Free Month!",,2015-11-03 19:55:57,2015-11-03 20:58:15.720898,2015-11-03 20:58:15.720898,0.00000000000,18.00000000000,235421.48499299999,899117.90449500002,0,235421.484993_899117.904495
235416.755602200282738,899124.323171126889065,57,13040.00000000000,2950.00000000000,2.00000000000,"No Fee Beautifully Renovated 2 Bed-1 Month Free, Pet Friendly, 11/15",,2015-11-02 14:20:49,2015-11-03 20:58:15.744768,2015-11-03 20:58:15.744768,0.00000000000,18.00000000000,235416.75560199999,899124.32317100000,0,235416.755602_899124.323171
235416.788064950989792,899117.880826179170981,58,13042.00000000000,2950.00000000000,2.00000000000,"Brand New 2 Bed for 11/15-No Fee, H/HW Incld, 1 Month Free!",,2015-11-02 14:19:39,2015-11-03 20:58:15.757023,2015-11-03 20:58:15.757023,0.00000000000,18.00000000000,235416.78806500000,899117.88082600001,0,235416.788065_899117.880826
